Site,Name,Price,Stock,Link
"efantasy","Magic the Gathering Draft Booster Box (36 boosters) -
Lost Caverns of Ixalan","129,00€","Διαθέσιμα: 1","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/251836-magic-the-gathering-draft-booster-box-36-boosters-lost-caverns-of-ixalan"

"efantasy","Magic the Gathering Draft Booster Box (36 boosters) -
March of the Machine","144,00€","Διαθέσιμα: 1","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/220190-magic-the-gathering-draft-booster-box-36-boosters-march-of-the-machine"

"efantasy","Magic the Gathering Play Booster - Duskmourn: House of
Horror","4,99€","Διαθέσιμα: 10+","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/298885-magic-the-gathering-play-booster-duskmourn-house-of-horror"

"efantasy","Magic the Gathering Booster - Jumpstart
2022","4,99€","Διαθέσιμα: 9","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/215986-magic-the-gathering-booster-jumpstart-2022"

"efantasy","Magic the Gathering Collector Booster - Murders at
Karlov Manor","25,00€","Διαθέσιμα: 7","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/263782-magic-the-gathering-collector-booster-murders-at-karlov-manor"

"efantasy","Magic the Gathering Collector Booster - Dominaria
Remastered","29,99€","Διαθέσιμα: 7","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/218619-magic-the-gathering-collector-booster-dominaria-remastered"

"efantasy","Magic the Gathering Play Booster - Modern Horizons
3","10,00€","Διαθέσιμα: 9","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/278465-magic-the-gathering-play-booster-modern-horizons-3"

"efantasy","Magic the Gathering Set Booster - The Lord of the
Rings: Tales of Middle-Earth","7,99€","Διαθέσιμα: 4","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/223817-magic-the-gathering-set-booster-the-lord-of-the-rings-tales-of-middle-earth"

"efantasy","Magic the Gathering Play Booster - Murders at Karlov
Manor","4,99€","Διαθέσιμα: 10+","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/267032-magic-the-gathering-play-booster-murders-at-karlov-manor"

"efantasy","Magic the Gathering Play Booster - Outlaws of Thunder
Junction","4,99€","Διαθέσιμα: 9","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/277897-magic-the-gathering-play-booster-outlaws-of-thunder-junction"

"efantasy","Magic the Gathering Play Booster Box (30 boosters) -
Aetherdrift","149,99€","Διαθέσιμα: Προπαραγγελία","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/330212-magic-the-gathering-play-booster-box-30-boosters-aetherdrift"

